date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zip_code,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
2012-05-10,Q4,H100000,Condo,Resale,1990,499076,-1.82,6,168,2970.69,90 Sample Street,71914,Copenhagen,Suburban,Hovedstaden,1.87,1.51,1.08
2020-04-30,Q4,H100001,Apartment,Resale,2011,112507,-0.33,3,223,504.52,453 Sample Street,73888,Copenhagen,Rural,Nordjylland,4.39,1.39,2.07
2018-06-20,Q2,H100002,Villa,New Sale,1959,107134,-2.5,5,215,498.3,60 Sample Street,89286,Copenhagen,Urban,Midtjylland,4.02,1.66,0.27
2011-04-12,Q2,H100003,Townhouse,New Sale,1970,183172,-1.34,5,247,741.59,311 Sample Street,71293,Odense,Urban,Hovedstaden,4.69,1.44,2.79
2022-02-13,Q4,H100004,Villa,Resale,1985,291225,-0.99,5,193,1508.94,528 Sample Street,92524,Copenhagen,Suburban,Midtjylland,1.61,2.29,0.75
2019-06-07,Q1,H100005,Villa,New Sale,1961,243069,0.04,8,190,1279.31,227 Sample Street,78515,Aarhus,Suburban,Midtjylland,3.1,2.04,3.0
2018-09-07,Q1,H100006,Townhouse,Resale,1951,864604,6.24,9,42,20585.81,474 Sample Street,33524,Copenhagen,Suburban,Nordjylland,1.74,2.29,0.6
2017-12-29,Q2,H100007,Villa,Resale,1962,856564,3.58,9,118,7259.02,978 Sample Street,17065,Aarhus,Urban,Nordjylland,4.21,2.85,2.34
2010-05-11,Q2,H100008,Townhouse,Resale,2002,823221,9.79,6,71,11594.66,541 Sample Street,47684,Copenhagen,Rural,Midtjylland,0.52,1.85,0.75
2014-08-13,Q4,H100009,Villa,Resale,1981,854631,1.22,6,239,3575.86,663 Sample Street,98720,Odense,Rural,Hovedstaden,3.04,1.38,0.33
2012-02-09,Q2,H100010,Townhouse,New Sale,1965,610897,6.31,9,258,2367.82,757 Sample Street,43365,Aalborg,Suburban,Nordjylland,2.03,1.08,2.64
2016-07-19,Q2,H100011,Apartment,Resale,1981,224037,8.07,4,280,800.13,782 Sample Street,68876,Copenhagen,Rural,Midtjylland,1.95,1.72,2.59
2016-08-30,Q4,H100012,Condo,New Sale,1981,713376,5.18,6,237,3010.03,79 Sample Street,33704,Copenhagen,Rural,Syddanmark,3.4,3.1,1.27
2013-03-30,Q2,H100013,Townhouse,New Sale,1960,482995,1.18,4,169,2857.96,433 Sample Street,67857,Odense,Suburban,Syddanmark,4.33,3.15,2.14
2022-06-22,Q4,H100014,Townhouse,New Sale,1959,546013,6.3,1,63,8666.87,801 Sample Street,15622,Copenhagen,Suburban,Nordjylland,3.24,2.83,1.72
2019-04-09,Q4,H100015,Condo,New Sale,1964,344025,-1.94,7,47,7319.68,153 Sample Street,93797,Aarhus,Urban,Hovedstaden,4.34,1.32,2.57
2021-04-10,Q2,H100016,Townhouse,Resale,1966,787954,-0.09,6,86,9162.26,789 Sample Street,97700,Copenhagen,Urban,Syddanmark,1.69,2.56,1.01
2023-04-06,Q2,H100017,Townhouse,New Sale,1989,860904,3.2,9,141,6105.7,401 Sample Street,89332,Copenhagen,Urban,Syddanmark,2.84,2.5,1.62
2017-12-14,Q1,H100018,Villa,Resale,1967,550098,3.63,7,34,16179.35,279 Sample Street,76201,Aalborg,Urban,Syddanmark,2.53,2.19,1.51
2011-04-20,Q1,H100019,Condo,New Sale,2004,757173,-4.67,7,211,3588.5,57 Sample Street,42694,Aalborg,Rural,Hovedstaden,0.55,2.42,1.13
2012-12-18,Q2,H100020,Apartment,New Sale,2022,805728,9.18,2,42,19184.0,977 Sample Street,99766,Copenhagen,Rural,Hovedstaden,3.01,2.22,2.69
2017-01-02,Q4,H100021,Townhouse,Resale,1974,307803,5.45,9,288,1068.76,186 Sample Street,32995,Odense,Urban,Nordjylland,3.48,2.48,0.58
2015-08-10,Q3,H100022,Condo,Resale,2008,741381,2.44,9,119,6230.09,398 Sample Street,90141,Aalborg,Urban,Nordjylland,3.16,3.0,0.53
2017-07-10,Q4,H100023,Villa,Resale,1971,366275,9.0,6,133,2753.95,605 Sample Street,92999,Copenhagen,Suburban,Syddanmark,3.81,0.88,1.77
2012-09-02,Q3,H100024,Apartment,New Sale,1979,729447,1.59,3,215,3392.78,788 Sample Street,18419,Aalborg,Rural,Hovedstaden,3.07,3.12,2.01
2014-12-12,Q1,H100025,Condo,New Sale,1993,62828,9.71,1,279,225.19,158 Sample Street,57952,Copenhagen,Rural,Midtjylland,0.8,0.98,0.66
2010-07-09,Q4,H100026,Apartment,Resale,1981,933096,2.68,4,284,3285.55,787 Sample Street,43837,Aalborg,Urban,Syddanmark,1.02,0.73,1.23
2017-06-27,Q2,H100027,Apartment,Resale,2000,566835,-3.29,3,105,5398.43,693 Sample Street,80799,Aalborg,Rural,Nordjylland,3.18,3.92,2.85
2018-03-25,Q4,H100028,Apartment,Resale,1995,706761,6.47,1,137,5158.84,359 Sample Street,58877,Aarhus,Suburban,Hovedstaden,1.74,3.85,0.82
2022-10-03,Q3,H100029,Townhouse,Resale,1970,851625,5.18,3,185,4603.38,440 Sample Street,55687,Copenhagen,Suburban,Nordjylland,0.86,0.71,2.04
2015-03-15,Q1,H100030,Townhouse,New Sale,1981,273461,6.59,4,111,2463.61,589 Sample Street,47276,Copenhagen,Rural,Nordjylland,2.43,2.05,2.25
2013-06-21,Q3,H100031,Villa,Resale,1988,488080,9.27,8,106,4604.53,466 Sample Street,44523,Copenhagen,Urban,Hovedstaden,2.99,1.15,1.4
2014-03-09,Q4,H100032,Villa,Resale,1961,463523,6.65,9,287,1615.06,663 Sample Street,76055,Copenhagen,Rural,Syddanmark,1.98,2.2,2.82
2018-10-08,Q4,H100033,Condo,Resale,1996,414662,4.17,3,156,2658.09,446 Sample Street,64615,Aalborg,Suburban,Hovedstaden,3.74,3.41,2.24
